Date,Month,Day,CasesTotal,DeathsTotal,HospitalizationsTotal,CasesAge 017,CasesAge 1829,CasesAge 3039,CasesAge 4049,CasesAge 5059,CasesAge 6069,CasesAge 7079,CasesAge 80plus,CasesAge Unknown,Cases Female,Cases Male,Cases Unknown Gender,CasesLatinx,CasesAsianNonLatinx,CasesBlackNonLatinx,CasesWhiteNonLatinx,CasesOtherRaceNonLatinx,CasesUnknownRaceEthnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,DeathsLatinx,DeathsAsianNonLatinx,DeathsBlackNonLatinx,DeathsWhiteNonLatinx,DeathsOtherRaceNonLatinx,DeathsUnknownRaceEthnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,HospitalizationsLatinx,HospitalizationsAsianNonLatinx,HospitalizationsBlackNonLatinx,HospitalizationsWhiteNonLatinx,HospitalizationsOtherRaceNonLatinx,HospitalizationsUnknownRaceEthnicity
05/12/2020,5,12,943,46,104,64,178,177,182,162,92,50,38,0,493,445,5,440,10,169,100,21,203,0,0,4,2,4,10,7,19,0,12,34,0,21,2,19,4,0,0,1,7,16,10,22,20,14,14,0,48,56,0,46,2,38,16,1,1
06/24/2020,6,24,244,9,23,22,76,56,29,34,11,8,8,0,142,101,1,81,5,51,40,8,59,0,0,0,0,3,4,1,1,0,5,4,0,6,1,2,0,0,0,0,7,3,1,3,2,6,1,0,16,7,0,6,0,13,4,0,0
07/28/2020,7,28,336,3,10,38,86,76,68,33,19,9,7,0,187,145,4,154,11,74,45,10,42,0,0,0,1,0,0,1,1,0,1,2,0,0,0,2,1,0,0,1,2,4,1,0,0,1,1,0,8,2,0,4,0,5,1,0,0
08/14/2020,8,14,346,3,20,56,84,64,59,40,26,10,7,0,179,161,6,133,5,67,80,14,47,0,0,0,0,0,1,1,1,0,1,2,0,1,0,2,0,0,0,0,1,2,2,2,4,5,4,0,11,9,0,3,0,14,3,0,0
05/21/2020,5,21,805,34,79,75,177,137,120,123,79,51,43,0,417,370,18,367,24,132,54,29,199,0,0,1,0,3,13,11,6,0,14,20,0,17,1,6,10,0,0,1,5,10,12,11,19,13,8,0,38,41,0,31,8,31,5,3,1
09/09/2020,9,9,403,5,15,41,133,77,53,46,37,11,5,0,219,184,0,198,10,56,78,8,53,0,0,0,0,1,1,2,1,0,4,1,0,5,0,0,0,0,0,0,1,0,5,3,1,4,1,0,7,8,0,6,0,4,2,2,1
09/17/2020,9,17,384,0,17,38,119,88,51,40,29,10,9,0,185,197,2,126,12,44,106,10,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,3,5,3,1,0,0,7,10,0,5,0,3,8,1,0
09/18/2020,9,18,334,3,11,39,93,68,40,44,32,9,9,0,154,178,2,128,8,42,50,16,90,0,0,0,0,0,0,1,2,0,1,2,0,0,0,1,2,0,0,0,0,0,0,2,1,3,5,0,8,2,1,1,0,5,3,1,1
09/20/2020,9,20,103,6,12,13,27,26,14,9,5,7,2,0,51,51,1,25,2,13,16,2,45,0,0,0,0,0,3,1,2,0,3,3,0,3,0,1,2,0,0,0,1,2,1,3,2,2,1,0,4,8,0,2,0,5,4,1,0
09/03/2020,9,3,333,3,16,37,99,59,49,49,22,13,5,0,176,155,2,136,5,53,82,6,51,0,0,0,0,1,0,0,2,0,1,2,0,3,0,0,0,0,0,0,4,2,0,4,3,2,1,0,8,8,0,7,0,5,2,1,1
